id_requisito,tipo,prioridad_moscow,historia_usuario,caso_de_uso,modulo_codigo,endpoint_api,prueba_automatizada,tipo_acceso,evidencia_empirica,estado
REQ-F-001,Funcional,Must,HU-001,CU-001,AuthController,POST /api/auth/login,AuthServiceTest,CRUD-ORM,docs/mediciones/sec/A01-acceso.txt,verificado
REQ-F-002,Funcional,Must,HU-001,,AuthController,GET /api/auth/me,AuthServiceTest,CRUD-ORM,,verificado
REQ-F-003,Funcional,Must,HU-001,,AuthController,POST /api/auth/refresh,AuthServiceTest,CRUD-ORM,,verificado
REQ-F-004,Funcional,Must,HU-001,,AuthController,POST /api/auth/logout,AuthServiceTest,CRUD-ORM,,verificado
REQ-F-005,Funcional,Should,HU-001,,AuthController,POST /api/auth/verify-email,AuthServiceTest,CRUD-ORM,,verificado
REQ-F-006,Funcional,Should,HU-001,,AuthController,POST /api/auth/resend-code,AuthServiceTest,CRUD-ORM,,verificado
REQ-F-007,Funcional,Should,HU-001,,AuthController,POST /api/auth/forgot-password,AuthServiceTest,CRUD-ORM,,verificado
REQ-F-008,Funcional,Should,HU-001,,AuthController,POST /api/auth/reset-password,AuthServiceTest,CRUD-ORM,,verificado
REQ-F-009,Funcional,Must,HU-002,CU-002,ConductorController,GET /api/conductores,ConductorServiceTest,CRUD-ORM,docs/mediciones/perf/,verificado
REQ-F-010,Funcional,Must,HU-002,CU-002,ConductorController,GET /api/conductores/{id},ConductorServiceTest,CRUD-ORM,,verificado
REQ-F-011,Funcional,Must,HU-002,CU-002,ConductorController,POST /api/conductores,ConductorServiceTest,CRUD-ORM,,verificado
REQ-F-012,Funcional,Must,HU-002,CU-002,ConductorController,PUT /api/conductores/{id},ConductorServiceTest,CRUD-ORM,,verificado
REQ-F-013,Funcional,Must,HU-002,CU-002,ConductorController,DELETE /api/conductores/{id},ConductorServiceTest,CRUD-ORM,,verificado
REQ-F-014,Funcional,Must,HU-003,CU-003,UsuarioController,GET /api/usuarios,UsuarioServiceTest,CRUD-ORM,,verificado
REQ-F-015,Funcional,Must,HU-003,CU-003,UsuarioController,GET /api/usuarios/{id},UsuarioServiceTest,CRUD-ORM,,verificado
REQ-F-016,Funcional,Must,HU-003,CU-003,UsuarioController,POST /api/usuarios,UsuarioServiceTest,CRUD-ORM,,verificado
REQ-F-017,Funcional,Must,HU-003,CU-003,UsuarioController,PUT /api/usuarios/{id},UsuarioServiceTest,CRUD-ORM,,verificado
REQ-F-018,Funcional,Must,HU-003,CU-003,UsuarioController,DELETE /api/usuarios/{id},UsuarioServiceTest,CRUD-ORM,,verificado
REQ-F-019,Funcional,Must,HU-004,CU-004,RutaController,GET /api/rutas,RutaServiceTest,CRUD-ORM,,verificado
REQ-F-020,Funcional,Must,HU-004,CU-004,RutaController,GET /api/rutas/{id},RutaServiceTest,CRUD-ORM,,verificado
REQ-F-021,Funcional,Must,HU-004,CU-004,RutaController,POST /api/rutas,RutaServiceTest,CRUD-ORM,,verificado
REQ-F-022,Funcional,Must,HU-004,CU-004,RutaController,PUT /api/rutas/{id},RutaServiceTest,CRUD-ORM,,verificado
